customer_id,customer_name,email,registration_date,customer_type
1,Brianna Sullivan,washingtoncarrie@example.net,2023-03-19,REGULAR
2,Ernest Kramer,colleen54@example.com,2024-11-09,REGULAR
3,Thomas Butler,patrickwalters@example.org,2023-01-23,VIP
4,Christian King,vjones@example.org,2024-05-16,VIP
5,Samantha Patrick,patricia60@example.com,2026-03-04,REGULAR
6,Glen Shannon,jsmith@example.com,2024-03-26,REGULAR
7,Lauren Mclean,uturner@example.com,2022-07-17,REGULAR
8,Lisa Miles,crystal89@example.org,2025-09-10,VIP
9,Lawrence Benitez,angelaallen@example.com,2024-07-21,REGULAR
10,Carl Mayer,martinjackson@example.org,2026-02-21,VIP
11,Diane Smith,maria40@example.org,2024-01-31,REGULAR
12,Javier Thomas,christensenderek@example.com,2023-04-10,PREMIUM
13,Jennifer Gutierrez,william23@example.com,2025-07-01,REGULAR
14,Bruce Rodriguez,mariagarcia@example.net,2022-09-29,REGULAR
15,Bryan Smith,ericbishop@example.com,2022-12-27,PREMIUM
16,Randall Warren,jessica02@example.net,2024-07-06,REGULAR
17,Kristen Mann,shenderson@example.net,2024-03-30,PREMIUM
18,David Gonzalez,chasemartin@example.com,2023-02-22,PREMIUM
19,Michael Jones,nicolegonzalez@example.net,2025-01-19,PREMIUM
20,Jonathan Campos,penadouglas@example.net,2022-10-28,REGULAR
21,Madison Hernandez,christopher88@example.com,2025-04-25,VIP
22,Megan Bell,romangregory@example.com,2024-08-10,PREMIUM
23,Timothy Reese,gsimon@example.net,2025-02-18,PREMIUM
24,Alicia Jacobs,keyjames@example.org,2023-01-19,VIP
25,Ashley Gross,weissdeborah@example.net,2025-11-06,PREMIUM
26,Jeffrey Thornton,bboyd@example.com,2024-10-10,VIP
27,Richard Williams,reedjoanna@example.org,2025-09-07,VIP
28,Scott Velez,danielmontgomery@example.net,2022-10-31,PREMIUM
29,Belinda Weber,gutierrezruben@example.org,2022-12-17,REGULAR
30,Eric Allen,ssanchez@example.net,2024-09-06,PREMIUM
31,Catherine Medina,antoniolee@example.net,2024-08-10,VIP
32,Stephanie Berry,brianmeyer@example.org,2024-08-02,REGULAR
33,Justin Wright,russell51@example.org,2026-01-07,REGULAR
34,Sarah Hughes,elizabeth38@example.net,2023-09-06,VIP
35,Tammy Lawson,gonzalespeter@example.net,2025-12-19,VIP
36,Patricia Mack,gallegosteresa@example.org,2025-05-08,VIP
37,John Cummings,williamscarla@example.com,2022-11-14,VIP
38,Carmen Thomas,ijackson@example.org,2022-10-11,PREMIUM
39,Sarah Andrews,pthomas@example.org,2023-12-24,VIP
40,Jocelyn Gonzalez,mlewis@example.com,2026-03-18,REGULAR
41,Jamie Reese,knightandrew@example.com,2025-06-25,REGULAR
42,Christian Moody,brian70@example.com,2025-10-10,REGULAR
